idx,question,is_victim
290,"게임에서 서로 욕했는데 고소한다는데
게임하는데 계속 저한테 비매너짓하고 찐따새끼니 인생을 살으라느니 겜하고 현실구분못하냐 하면서 정신병자냐 계속 그래서못참고 욕했더니 갑자기 자기 어디사는 누구 이름 폰번호까더니 더 지껄여봐 못지껄이겠음 아가리닥쳐쫄았냐? ㅋㅋㅋ ㅉㅉ 거리면서 계속 조롱하길래상대방보고 니가먼저 욕하면 팩폭해주겠다 하니까바로 저한테 너고소하려고 신상깐건데 지랄한다 ㅋㅋㅋ이러길래 못참고 야무지게 욕박아버렸는데응캡쳐 ㅅㄱ 이러더니 고소한다고 나갔는데저런식으로 욕하고 신상깐이후에 계속욕해보라며 쫄았냐고아닥하라고 하다가 상대방이 먼저 욕설을했는데제가 맞대응한경우 고소가되나요?생각할수록 어이가없는데 만약된다면 변호사 구해서 3심이든뭐든 끝까지 갈 생각입니다.",피해
291,"제가 롤에서 욕을 했는데 고소 가능한가요
제가 이러면 안되는건 알지만 평소에 adhd가 있어서 한번씩 돌아버리면 욕을 해버립니다 잘못된점 인거 알고 고치기위해 노력하고 있습니다 제가 롤을하다 그사람 챔피언을 말하고 욕을 했습니다 그런데 나중에 알고보니 그사람 이름인지는 모르겠는데 사람 이름이 적혀있었어요 그 사람 이름을로 욕은 한번도 안했습니다 끝나고 ㅇㅇㅇ아 갔니? 미안하다 하고 사과했는데 고소진행할거라면서 전화번호를 주시더라고요 그 뒤로는 욕 한번도 안하고 제가 사과 했습니다 전사정을 말하면서 당연히 이해는 안해주셨구요 이러한 상황에 특정성이 인정되나요?제가 잘못 잘못한것을 알고 뉘우치고 있습니다 자주 욱 하는건 아닌데 아직 완전히 고치지는 못하고 있네요",가해
302,"중고거래 욕설 고소가능한가요?
당근마켓에 노트북을 판매하려고 올려놓은 상태였습니다.개봉만한 상품이였으며 제가 기준에서는 개봉했으니 구매금액보다 저렴하게 판매중이였습니다.본론 2021년 11월 9일 19시32분경 상대방이 1:1대화로 능지부실(지능이 떨어짐)이라는내용으로 메세지가 왔습니다.당황스러워 무슨 소리인지 물어보니 11번가에서 행사를 하는지한참 저렴한가격에 구매가 가능하다고 하네요.여기까진 제가 실수했을수 있으니 이해했습니다.하지만 이후 ㅇㅁㅊㄴ ㅅㄲ (애미창년 새끼라는 욕으로 의도적으로 보낸것으로 느낌)라며 욕설을 하였고 싸워봤자 손해일것같아 차단하였습니다. 실제대화 및 웹사이트 작성글위 내용으로 고소 진행가능 여부 * 가능하다면 고소 진행예정입니다.",피해
303,"전화통화 욕 고소
저는 미성년자이구요 롤이라는 게임을 하고 있었는데 게임 내 한 분이랑 말싸움이 붙었습니다. 그 분이 일방적으로 시비를 걸기 시작하더니 승률 드립 치고 자꾸 욕하고 전번 까라길래 전번을 적었습니다. 곧 전화가 와서 받으니까 패드립이랑 온갖 욕설을 다 했고 저는 욕 한자도 안하고 녹음도 했습니다. 그리고 제 주소랑 이름도 그 사람이 다 아는데 제 이름이 만약 xxx라면 그 사람이 채팅으로 xxx ㅇㅁ ㅇㅂ 돈도 못벌고 불쌍하다 이런식으로 패드립 하고 성적인 드립도 쳤습니다. 이런 경우 신고 가능할까요? 참고로 저도 채팅으로 욕을 했는지 안했는지는 기억이 잘 안나는데 비꼬기는 했습니다. 나이 먹고 고딩한테 그러면 안쪽팔리냐? 이런식으로요",피해
304,"게임 패드립 고소
제가 피파하다가 제가 맨날 겜 잘안풀리면 혼잣말로 채팅치는데 골이너무안들가고 상대는 한번에 들가서 제가 화가나서 아니 시ㅡ발 애미없는년아 한번했고 상대도 빡쳐서 쌍욕 하는데 전번달라길래 아무 전번이나 아무렇게 쳐서 줫는데 상대가 애있는사람 전번줬다고 개인정보 유출하고 패드립으로 상대가 고소한다는데 이게 되나요? 제가 알기로는 상대닉넴언급하질않거나 다수가 있는 공간에서 이름을 언급하면서 욕하거나 상대방 개인정보 유출이 아니면 고소가 안된다고 알고있거든요? 뭔 상대방 아빠가 경찰 청장이라고 닌 뒤졌다고 고소한다고 그런느데 이게 고소가 되요? 제가 니도 욕했으니까 쌍방이라니까 패드립이랑 그냥 쌍욕이랑 다르다는데 이게 말이 되는건가요?",가해
307,"롤 욕설 고소
안녕하세요, 게임 도중 상대방이 저에게 ""애미 어쩌고"" 부모 욕을 했습니다 (정확히 기억이 나지는 않습니다)그래서 제가 ""나도 부모 욕 해도 되냐?"" 라고 하길래 하라고 해서 저도 욕을 했습니다.저는 ""니네 엄마가 니네 아빠 정자 못 피해서 니가 태어났다"" 라고 욕을 했습니다.그랬더니 상대방이 저를 통매음으로 고소를 한다고 합니다.저는 정당방위라고 생각했습니다 상대방이 먼저 부모님 욕을 했으니까요그래서 제가 맞고소를 한다고 하고 채팅을 일부 캡쳐했는데캡쳐하고 봤더니 상대방은 ""애미""라고 하지 않고 ""매미""라고 채팅을 했더군요이런 경우에 저만 일방적으로 통매음 고소를 당하게 되나요?통매음이 아니더라도 욕설로 인한 고소를 받게 되나요?",가해
308,"팝콘tv 벗방(여) 챗팅
안녕하세요..한2주전에 팝콘tv라는 어플에 접속하여 여기저기 방을 구경하다얼굴가리고 노출하는 방송을하길래제가 왜그랬는지 모르겠는데쳇팅창에 몸팔아서 먹고살아서 좋냐? <---- 이렇게 챗팅창에 올리고 말았습니다그러고 그냥 나왓는데처음보는 아이디로 20분쯤지나서 카톡이이와서너 신고할꺼다 너 와이프한테 쪽팔리게 해줄께 이러더라구요그래서 앗차 싶어서 죄송합니다 이러고 카톡을 차단했습니다그런데 어제 서울지법에서 우편물이 왓는데 받지를 못했어요이거 말고는 법원이나 검찰에서 올께 없는데 ㅠㅠ이런적 처음이고 겁이남니다이혼하고 친구집에서 얻처서 사는입장이고 돈도없고 합의는 더더욱 어려운데 어떻게 해야합니까??제발 도움 부탁 드립니다.",가해
309,"댓글 고소
댓글 고소 관련해서 페이스북 뉴스 페이지에서 A는 친구B와 너무친해서 집비밀번호까지알려주는사이인데 어느날 B씨가 A씨의집비밀번호를 누르고들어가서 A씨의 어머니를 성폭행하고 600만원을 훔쳐서 달아났다는 기사가 좀전에올라왓는데 돈만많으면 거침없이댓글 조지고싶은데 세상이워낙흉흉해서 일단여쭙니다. 기사에 가해자 신상을알수있는대목은 인천(27세) 남 <<이정도인데 댓글에다가 진짜 내용이 너무 기상천외해서 욕을왠만하면 꼭 박을려고합니다(가해자씨발새끼 애미애비다뒤져야한다) (씹미개하다 븅신새끼) (진짜씨발 못배워쳐먹었네) (개쌍놈에집안이네 시발)등등 가해자를 모욕하는 댓글을달면 혹시나 가해자나 가해자 친족한테 고소당할수가있나요?????",가해
312,"게임 채팅 욕설 신고하는 방법을 알 수 있을까요?
게임을 하다가 상대방이 욕설을 하길래 그만하라고 해도 계속 하여서 일단 내용 캡쳐는 해놨구요 신고하고 싶은데 신고가 가능한가 싶어서 문의 올립니다 그리고 만약 신고가 가능하다면 어떻게 해야하나요? 채팅내용은 대략 이렇습니다A(나), B(상대방)(상대방이 못한다고 뭐라고 하자)A : 왜 시비검?B : 여무세요 병@신아A : 하지마세요 욕 하지마세요B : 하는꼬라지봐 병@신새@끼(그러고 신고한다고 하니까)B : 뭐 저런 병@신이 다잇어 ㅋ 신ㅏ해 신고나해 역겨운년아A : 내용 캡쳐하고 있구요 하지마세요B : 캡처가 의미가 있어?ㅋ이런식으로 했는데 신고가 가능할까요",피해
314,"성 범죄 해당되나요?
안녕하세요 고등학교 1학년 재학 중인 한 학생입니다. 다름이 아니라 저희 학교에서 어떤 미친놈이 저희반 아이들을 한 줄로 나열해서 얘는 가슴이 작다 얘는 하마 엉덩이다 얘는 걸레년이다 이러면서 이것보다 더 심하게 성적으로 모욕하는 말을 했고요 , 그리고 저희의 사진을 어디서 구해 왔는지 모르겠지만 지인 능욕 사진으로 바꾸어 복사를 해서 저희 반에 붙여놨습니다. 친구들은 다들 충격받고 공포심에 떨고 있어 혼자서 화장실도 복도도 못 나가고 있습니다. 하지만 범인이 아직도 잡히지 않아 너무 무섭습니다. 이건 처벌을 받게 된다면 얼마나 받게 될까오 ? 저희 사진을 마음대로 썼으니 초상권 침해도 해당되지 않을 까요 ??",피해
